Year,Region,Total_Births
2020,"Ağrı, Kars, Iğdır, Ardahan-TRA2",21882
2020,"Balıkesir, Çanakkale-TR22",16372
2020,"Bursa, Eskişehir, Bilecik-TR41",49342
2020,"Erzurum, Erzincan, Bayburt-TRA1",15719
2020,"Gaziantep, Adıyaman, Kilis-TRC1",54164
2020,"Hatay, Kahramanmaraş, Osmaniye-TR63",51750
2020,"Kastamonu, Çankırı, Sinop-TR82",7564
2020,"Kayseri, Sivas, Yozgat-TR72",30562
2020,"Kocaeli, Sakarya, Düzce, Bolu, Yalova-TR42",50727
2020,"Konya, Karaman-TR52",34461
2020,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir-TR71",19896
2020,"Malatya, Elazığ, Bingöl, Tunceli-TRB1",23220
2020,"Manisa, Afyonkarahisar, Kütahya, Uşak-TR33",35624
2020,"Mardin, Batman, Şırnak, Siirt-TRC3",53179
2020,"Samsun, Tokat, Çorum, Amasya-TR83",29207
2020,"Tekirdağ, Edirne, Kırklareli-TR21",20182
2020,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane-TR90",27717
2020,"Van, Muş, Bitlis, Hakkari-TRB2",46888
2020,"Zonguldak, Karabük, Bartın-TR81",9038
2020,İstanbul-TR10,192857
2020,İzmir-TR31,44691
2020,"Şanlıurfa, Diyarbakır-TRC2",96535
2021,"Adana, Mersin-TR62",53029
2021,Ankara-TR51,60214
2021,"Antalya, Isparta, Burdur-TR61",35410
2021,"Aydın, Denizli, Muğla-TR32",32337
2021,"Ağrı, Kars, Iğdır, Ardahan-TRA2",20750
2021,"Balıkesir, Çanakkale-TR22",15571
2021,"Bursa, Eskişehir, Bilecik-TR41",47659
2021,"Erzurum, Erzincan, Bayburt-TRA1",15297
2021,"Gaziantep, Adıyaman, Kilis-TRC1",54770
2021,"Hatay, Kahramanmaraş, Osmaniye-TR63",49958
2021,"Kastamonu, Çankırı, Sinop-TR82",7371
2021,"Kayseri, Sivas, Yozgat-TR72",29221
2021,"Kocaeli, Sakarya, Düzce, Bolu, Yalova-TR42",50087
2021,"Konya, Karaman-TR52",33746
2021,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir-TR71",19196
2021,"Malatya, Elazığ, Bingöl, Tunceli-TRB1",22085
2021,"Manisa, Afyonkarahisar, Kütahya, Uşak-TR33",34042
2021,"Mardin, Batman, Şırnak, Siirt-TRC3",53834
2021,"Samsun, Tokat, Çorum, Amasya-TR83",27922
2021,"Tekirdağ, Edirne, Kırklareli-TR21",19533
2021,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane-TR90",26256
2021,"Van, Muş, Bitlis, Hakkari-TRB2",44428
2021,"Zonguldak, Karabük, Bartın-TR81",8662
2021,İstanbul-TR10,181197
2021,İzmir-TR31,43376
2021,"Şanlıurfa, Diyarbakır-TRC2",99499
2022,"Adana, Mersin-TR62",52309
2022,Ankara-TR51,58020
2022,"Antalya, Isparta, Burdur-TR61",33948
2022,"Aydın, Denizli, Muğla-TR32",31467
2022,"Ağrı, Kars, Iğdır, Ardahan-TRA2",18801
2022,"Balıkesir, Çanakkale-TR22",15489
2022,"Bursa, Eskişehir, Bilecik-TR41",45544
2022,"Erzurum, Erzincan, Bayburt-TRA1",13954
2022,"Gaziantep, Adıyaman, Kilis-TRC1",53010
2022,"Hatay, Kahramanmaraş, Osmaniye-TR63",48535
2022,"Kastamonu, Çankırı, Sinop-TR82",7098
2022,"Kayseri, Sivas, Yozgat-TR72",28112
2022,"Kocaeli, Sakarya, Düzce, Bolu, Yalova-TR42",48071
2022,"Konya, Karaman-TR52",33089
2022,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir-TR71",18840
2022,"Malatya, Elazığ, Bingöl, Tunceli-TRB1",20854
2022,"Manisa, Afyonkarahisar, Kütahya, Uşak-TR33",33320
2022,"Mardin, Batman, Şırnak, Siirt-TRC3",50840
2022,"Samsun, Tokat, Çorum, Amasya-TR83",26721
2022,"Tekirdağ, Edirne, Kırklareli-TR21",19420
2022,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane-TR90",25181
2022,"Van, Muş, Bitlis, Hakkari-TRB2",42256
2022,"Zonguldak, Karabük, Bartın-TR81",8130
2022,İstanbul-TR10,171187
2022,İzmir-TR31,41900
2022,"Şanlıurfa, Diyarbakır-TRC2",94764
2023,"Adana, Mersin-TR62",48009
2023,Ankara-TR51,54404
2023,"Antalya, Isparta, Burdur-TR61",32438
2023,"Aydın, Denizli, Muğla-TR32",30025
2023,"Ağrı, Kars, Iğdır, Ardahan-TRA2",16515
2023,"Balıkesir, Çanakkale-TR22",15132
2023,"Bursa, Eskişehir, Bilecik-TR41",43103
2023,"Erzurum, Erzincan, Bayburt-TRA1",13016
2023,"Gaziantep, Adıyaman, Kilis-TRC1",46449
2023,"Hatay, Kahramanmaraş, Osmaniye-TR63",41187
2023,"Kastamonu, Çankırı, Sinop-TR82",6629
2023,"Kayseri, Sivas, Yozgat-TR72",25779
2023,"Kocaeli, Sakarya, Düzce, Bolu, Yalova-TR42",46250
2023,"Konya, Karaman-TR52",31188
2023,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir-TR71",17535
2023,"Malatya, Elazığ, Bingöl, Tunceli-TRB1",18392
2023,"Manisa, Afyonkarahisar, Kütahya, Uşak-TR33",31740
2023,"Mardin, Batman, Şırnak, Siirt-TRC3",47250
2023,"Samsun, Tokat, Çorum, Amasya-TR83",25193
2023,"Tekirdağ, Edirne, Kırklareli-TR21",18740
2023,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane-TR90",23993
2023,"Van, Muş, Bitlis, Hakkari-TRB2",37621
2023,"Zonguldak, Karabük, Bartın-TR81",7518
2023,İstanbul-TR10,157378
2023,İzmir-TR31,38864
2023,"Şanlıurfa, Diyarbakır-TRC2",87218
2024,"Adana, Mersin-TR62",46626
2024,Ankara-TR51,52198
2024,"Antalya, Isparta, Burdur-TR61",30652
2024,"Aydın, Denizli, Muğla-TR32",28666
2024,"Ağrı, Kars, Iğdır, Ardahan-TRA2",15903
2024,"Balıkesir, Çanakkale-TR22",14615
2024,"Bursa, Eskişehir, Bilecik-TR41",41525
2024,"Erzurum, Erzincan, Bayburt-TRA1",12193
2024,"Gaziantep, Adıyaman, Kilis-TRC1",46852
2024,"Hatay, Kahramanmaraş, Osmaniye-TR63",40940
2024,"Kastamonu, Çankırı, Sinop-TR82",6579
2024,"Kayseri, Sivas, Yozgat-TR72",25359
2024,"Kocaeli, Sakarya, Düzce, Bolu, Yalova-TR42",44865
2024,"Konya, Karaman-TR52",30102
2024,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir-TR71",17055
2024,"Malatya, Elazığ, Bingöl, Tunceli-TRB1",18087
2024,"Manisa, Afyonkarahisar, Kütahya, Uşak-TR33",30151
2024,"Mardin, Batman, Şırnak, Siirt-TRC3",46325
2024,"Samsun, Tokat, Çorum, Amasya-TR83",24568
2024,"Tekirdağ, Edirne, Kırklareli-TR21",18452
2024,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane-TR90",22920
2024,"Van, Muş, Bitlis, Hakkari-TRB2",36410
2024,"Zonguldak, Karabük, Bartın-TR81",7504
2024,İstanbul-TR10,154550
2024,İzmir-TR31,36709
2024,"Şanlıurfa, Diyarbakır-TRC2",87753
