Year,Region,Gender,Age_Group,Environment,Population
2011,"Balıkesir, Çanakkale-TR22",Male,0-4,Rural,16316.0
2011,"Bursa, Eskişehir, Bilecik-TR41",Male,0-4,Rural,11076.0
2011,"Erzurum, Erzincan, Bayburt-TRA1",Male,0-4,Rural,18518.0
2011,"Gaziantep, Adıyaman, Kilis-TRC1",Male,0-4,Rural,25970.0
2011,"Hatay, Kahramanmaraş, Osmaniye-TR63",Male,0-4,Rural,66646.0
2011,İstanbul-TR10,Male,0-4,Rural,4409.0
2011,İzmir-TR31,Male,0-4,Rural,9917.0
2011,"Kastamonu, Çankırı, Sinop-TR82",Male,0-4,Rural,8019.0
2011,"Kayseri, Sivas, Yozgat-TR72",Male,0-4,Rural,20985.0
2011,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir-TR71",Male,0-4,Rural,22087.0
2011,"Kocaeli, Sakarya, Düzce, Bolu, Yalova-TR42",Male,0-4,Rural,20727.0
2011,"Konya, Karaman-TR52",Male,0-4,Rural,22073.0
2011,"Malatya, Elazığ, Bingöl, Tunceli-TRB1",Male,0-4,Rural,23443.0
2011,"Manisa, Afyonkarahisar, Kütahya, Uşak-TR33",Male,0-4,Rural,34870.0
2011,"Mardin, Batman, Şırnak, Siirt-TRC3",Male,0-4,Rural,52040.0
2011,"Samsun, Tokat, Çorum, Amasya-TR83",Male,0-4,Rural,31679.0
2011,"Şanlıurfa, Diyarbakır-TRC2",Male,0-4,Rural,93669.0
2011,"Tekirdağ, Edirne, Kırklareli-TR21",Male,0-4,Rural,13610.0
2011,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane-TR90",Male,0-4,Rural,32849.0
2011,"Van, Muş, Bitlis, Hakkari-TRB2",Male,0-4,Rural,72407.0
2011,"Zonguldak, Karabük, Bartın-TR81",Male,0-4,Rural,15462.0
2012,"Adana, Mersin-TR62",Male,0-4,Rural,22291.0
2012,"Ağrı, Kars, Iğdır, Ardahan-TRA2",Male,0-4,Rural,36631.0
2012,Ankara-TR51,Male,0-4,Rural,3265.0
2012,"Antalya, Isparta, Burdur-TR61",Male,0-4,Rural,29053.0
2012,"Aydın, Denizli, Muğla-TR32",Male,0-4,Rural,36546.0
2012,"Balıkesir, Çanakkale-TR22",Male,0-4,Rural,15570.0
2012,"Bursa, Eskişehir, Bilecik-TR41",Male,0-4,Rural,10501.0
2012,"Erzurum, Erzincan, Bayburt-TRA1",Male,0-4,Rural,17781.0
2012,"Gaziantep, Adıyaman, Kilis-TRC1",Male,0-4,Rural,24741.0
2012,"Hatay, Kahramanmaraş, Osmaniye-TR63",Male,0-4,Rural,64787.0
2012,İstanbul-TR10,Male,0-4,Rural,4413.0
2012,İzmir-TR31,Male,0-4,Rural,9782.0
2012,"Kastamonu, Çankırı, Sinop-TR82",Male,0-4,Rural,7618.0
2012,"Kayseri, Sivas, Yozgat-TR72",Male,0-4,Rural,19285.0
2012,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir-TR71",Male,0-4,Rural,20785.0
2012,"Kocaeli, Sakarya, Düzce, Bolu, Yalova-TR42",Male,0-4,Rural,19797.0
2012,"Konya, Karaman-TR52",Male,0-4,Rural,20477.0
2012,"Malatya, Elazığ, Bingöl, Tunceli-TRB1",Male,0-4,Rural,22318.0
2012,"Manisa, Afyonkarahisar, Kütahya, Uşak-TR33",Male,0-4,Rural,33248.0
2012,"Mardin, Batman, Şırnak, Siirt-TRC3",Male,0-4,Rural,50395.0
2012,"Samsun, Tokat, Çorum, Amasya-TR83",Male,0-4,Rural,29991.0
2012,"Şanlıurfa, Diyarbakır-TRC2",Male,0-4,Rural,94850.0
2012,"Tekirdağ, Edirne, Kırklareli-TR21",Male,0-4,Rural,13725.0
2012,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane-TR90",Male,0-4,Rural,31434.0
2012,"Van, Muş, Bitlis, Hakkari-TRB2",Male,0-4,Rural,70790.0
2012,"Zonguldak, Karabük, Bartın-TR81",Male,0-4,Rural,14557.0
2013,"Adana, Mersin-TR62",Male,0-4,Rural,0.0
2013,"Ağrı, Kars, Iğdır, Ardahan-TRA2",Male,0-4,Rural,35733.0
2013,Ankara-TR51,Male,0-4,Rural,0.0
2013,"Antalya, Isparta, Burdur-TR61",Male,0-4,Rural,5807.0
2013,"Aydın, Denizli, Muğla-TR32",Male,0-4,Rural,0.0
2013,"Balıkesir, Çanakkale-TR22",Male,0-4,Rural,4569.0
2013,"Bursa, Eskişehir, Bilecik-TR41",Male,0-4,Rural,1020.0
2013,"Erzurum, Erzincan, Bayburt-TRA1",Male,0-4,Rural,4132.0
2013,"Gaziantep, Adıyaman, Kilis-TRC1",Male,0-4,Rural,12563.0
2013,"Hatay, Kahramanmaraş, Osmaniye-TR63",Male,0-4,Rural,5197.0
2013,İstanbul-TR10,Male,0-4,Rural,0.0
2013,İzmir-TR31,Male,0-4,Rural,0.0
2013,"Kastamonu, Çankırı, Sinop-TR82",Male,0-4,Rural,7334.0
2013,"Kayseri, Sivas, Yozgat-TR72",Male,0-4,Rural,11497.0
2013,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir-TR71",Male,0-4,Rural,19744.0
2013,"Kocaeli, Sakarya, Düzce, Bolu, Yalova-TR42",Male,0-4,Rural,8776.0
2013,"Konya, Karaman-TR52",Male,0-4,Rural,2207.0
2013,"Malatya, Elazığ, Bingöl, Tunceli-TRB1",Male,0-4,Rural,11912.0
2013,"Manisa, Afyonkarahisar, Kütahya, Uşak-TR33",Male,0-4,Rural,19211.0
2013,"Mardin, Batman, Şırnak, Siirt-TRC3",Male,0-4,Rural,28334.0
2013,"Samsun, Tokat, Çorum, Amasya-TR83",Male,0-4,Rural,14377.0
2013,"Şanlıurfa, Diyarbakır-TRC2",Male,0-4,Rural,0.0
2013,"Tekirdağ, Edirne, Kırklareli-TR21",Male,0-4,Rural,4135.0
2013,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane-TR90",Male,0-4,Rural,11243.0
2013,"Van, Muş, Bitlis, Hakkari-TRB2",Male,0-4,Rural,33653.0
2013,"Zonguldak, Karabük, Bartın-TR81",Male,0-4,Rural,11212.0
2014,"Adana, Mersin-TR62",Male,0-4,Rural,0.0
2014,"Ağrı, Kars, Iğdır, Ardahan-TRA2",Male,0-4,Rural,34250.0
2014,Ankara-TR51,Male,0-4,Rural,0.0
2014,"Antalya, Isparta, Burdur-TR61",Male,0-4,Rural,5374.0
2014,"Aydın, Denizli, Muğla-TR32",Male,0-4,Rural,0.0
2014,"Balıkesir, Çanakkale-TR22",Male,0-4,Rural,4458.0
2014,"Bursa, Eskişehir, Bilecik-TR41",Male,0-4,Rural,972.0
2014,"Erzurum, Erzincan, Bayburt-TRA1",Male,0-4,Rural,3919.0
2014,"Gaziantep, Adıyaman, Kilis-TRC1",Male,0-4,Rural,11881.0
2014,"Hatay, Kahramanmaraş, Osmaniye-TR63",Male,0-4,Rural,5098.0
2014,İstanbul-TR10,Male,0-4,Rural,0.0
2014,İzmir-TR31,Male,0-4,Rural,0.0
2014,"Kastamonu, Çankırı, Sinop-TR82",Male,0-4,Rural,6221.0
2014,"Kayseri, Sivas, Yozgat-TR72",Male,0-4,Rural,10022.0
2014,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir-TR71",Male,0-4,Rural,18523.0
2014,"Kocaeli, Sakarya, Düzce, Bolu, Yalova-TR42",Male,0-4,Rural,8435.0
2014,"Konya, Karaman-TR52",Male,0-4,Rural,2155.0
2014,"Malatya, Elazığ, Bingöl, Tunceli-TRB1",Male,0-4,Rural,10796.0
2014,"Manisa, Afyonkarahisar, Kütahya, Uşak-TR33",Male,0-4,Rural,18318.0
2014,"Mardin, Batman, Şırnak, Siirt-TRC3",Male,0-4,Rural,27602.0
2014,"Samsun, Tokat, Çorum, Amasya-TR83",Male,0-4,Rural,12814.0
2014,"Şanlıurfa, Diyarbakır-TRC2",Male,0-4,Rural,0.0
2014,"Tekirdağ, Edirne, Kırklareli-TR21",Male,0-4,Rural,3970.0
2014,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane-TR90",Male,0-4,Rural,9527.0
2014,"Van, Muş, Bitlis, Hakkari-TRB2",Male,0-4,Rural,32558.0
2014,"Zonguldak, Karabük, Bartın-TR81",Male,0-4,Rural,10473.0
2015,"Adana, Mersin-TR62",Male,0-4,Rural,0.0
2015,"Ağrı, Kars, Iğdır, Ardahan-TRA2",Male,0-4,Rural,32617.0
2015,Ankara-TR51,Male,0-4,Rural,0.0
2015,"Antalya, Isparta, Burdur-TR61",Male,0-4,Rural,5154.0
2015,"Aydın, Denizli, Muğla-TR32",Male,0-4,Rural,0.0
2015,"Balıkesir, Çanakkale-TR22",Male,0-4,Rural,4342.0
2015,"Bursa, Eskişehir, Bilecik-TR41",Male,0-4,Rural,910.0
2015,"Erzurum, Erzincan, Bayburt-TRA1",Male,0-4,Rural,3986.0
2015,"Gaziantep, Adıyaman, Kilis-TRC1",Male,0-4,Rural,11365.0
2015,"Hatay, Kahramanmaraş, Osmaniye-TR63",Male,0-4,Rural,4787.0
