Year,Region,Rural,Urban,Total_Population
2022,"Aydın, Denizli, Muğla-TR32",0.0,3252758.0,3252758.0
2022,"Ağrı, Kars, Iğdır, Ardahan-TRA2",474135.0,607395.0,1081530.0
2022,"Balıkesir, Çanakkale-TR22",213357.0,1603616.0,1816973.0
2022,"Bursa, Eskişehir, Bilecik-TR41",37900.0,4292110.0,4330010.0
2022,"Erzurum, Erzincan, Bayburt-TRA1",83198.0,990020.0,1073218.0
2022,"Gaziantep, Adıyaman, Kilis-TRC1",208449.0,2728690.0,2937139.0
2022,"Hatay, Kahramanmaraş, Osmaniye-TR63",119868.0,3303016.0,3422884.0
2022,"Kastamonu, Çankırı, Sinop-TR82",272707.0,521973.0,794680.0
2022,"Kayseri, Sivas, Yozgat-TR72",290830.0,2204059.0,2494889.0
2022,"Kocaeli, Sakarya, Düzce, Bolu, Yalova-TR42",292848.0,3888592.0,4181440.0
2022,"Konya, Karaman-TR52",60902.0,2496283.0,2557185.0
2022,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir-TR71",436074.0,1193976.0,1630050.0
2022,"Malatya, Elazığ, Bingöl, Tunceli-TRB1",250879.0,1520120.0,1770999.0
2022,"Manisa, Afyonkarahisar, Kütahya, Uşak-TR33",526405.0,2645584.0,3171989.0
2022,"Mardin, Batman, Şırnak, Siirt-TRC3",412268.0,1981513.0,2393781.0
2022,"Samsun, Tokat, Çorum, Amasya-TR83",403299.0,2424040.0,2827339.0
2022,"Tekirdağ, Edirne, Kırklareli-TR21",199029.0,1727483.0,1926512.0
2022,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane-TR90",372398.0,2317640.0,2690038.0
2022,"Van, Muş, Bitlis, Hakkari-TRB2",443411.0,1713861.0,2157272.0
2022,"Zonguldak, Karabük, Bartın-TR81",376499.0,667420.0,1043919.0
2022,İstanbul-TR10,0.0,15907951.0,15907951.0
2022,İzmir-TR31,0.0,4462056.0,4462056.0
2022,"Şanlıurfa, Diyarbakır-TRC2",0.0,3974990.0,3974990.0
2023,"Adana, Mersin-TR62",0.0,4208687.0,4208687.0
2023,Ankara-TR51,0.0,5803482.0,5803482.0
2023,"Antalya, Isparta, Burdur-TR61",195146.0,3228332.0,3423478.0
2023,"Aydın, Denizli, Muğla-TR32",0.0,3287520.0,3287520.0
2023,"Ağrı, Kars, Iğdır, Ardahan-TRA2",471137.0,620993.0,1092130.0
2023,"Balıkesir, Çanakkale-TR22",217236.0,1626782.0,1844018.0
2023,"Bursa, Eskişehir, Bilecik-TR41",39530.0,4318517.0,4358047.0
2023,"Erzurum, Erzincan, Bayburt-TRA1",98852.0,980587.0,1079439.0
2023,"Gaziantep, Adıyaman, Kilis-TRC1",223081.0,2701210.0,2924291.0
2023,"Hatay, Kahramanmaraş, Osmaniye-TR63",128606.0,3090318.0,3218924.0
2023,"Kastamonu, Çankırı, Sinop-TR82",307460.0,516747.0,824207.0
2023,"Kayseri, Sivas, Yozgat-TR72",312688.0,2204095.0,2516783.0
