Year,Region,Net_Migration
2023,"Hatay, Kahramanmaraş, Osmaniye-TR63",-181553
2023,İstanbul-TR10,-168623
2023,İzmir-TR31,22122
2023,"Kastamonu, Çankırı, Sinop-TR82",33959
2023,"Kayseri, Sivas, Yozgat-TR72",23557
2023,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir-TR71",35152
2023,"Kocaeli, Sakarya, Düzce, Bolu, Yalova-TR42",42737
2023,"Konya, Karaman-TR52",17331
2023,"Malatya, Elazığ, Bingöl, Tunceli-TRB1",-50708
2023,"Manisa, Afyonkarahisar, Kütahya, Uşak-TR33",5541
2023,"Mardin, Batman, Şırnak, Siirt-TRC3",12555
2023,"Samsun, Tokat, Çorum, Amasya-TR83",37149
2023,"Şanlıurfa, Diyarbakır-TRC2",-14792
2023,"Tekirdağ, Edirne, Kırklareli-TR21",30983
2023,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane-TR90",51818
2023,"Van, Muş, Bitlis, Hakkari-TRB2",-18938
2023,"Zonguldak, Karabük, Bartın-TR81",11846
2024,"Adana, Mersin-TR62",5105
2024,"Ağrı, Kars, Iğdır, Ardahan-TRA2",-29180
2024,Ankara-TR51,52029
2024,"Antalya, Isparta, Burdur-TR61",21335
2024,"Aydın, Denizli, Muğla-TR32",18584
2024,"Balıkesir, Çanakkale-TR22",7966
2024,"Bursa, Eskişehir, Bilecik-TR41",22020
2024,"Erzurum, Erzincan, Bayburt-TRA1",-17804
2024,"Gaziantep, Adıyaman, Kilis-TRC1",7366
2024,"Hatay, Kahramanmaraş, Osmaniye-TR63",8780
2024,İstanbul-TR10,26032
2024,İzmir-TR31,15849
2024,"Kastamonu, Çankırı, Sinop-TR82",-12747
2024,"Kayseri, Sivas, Yozgat-TR72",-20718
2024,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir-TR71",-9283
2024,"Kocaeli, Sakarya, Düzce, Bolu, Yalova-TR42",30697
2024,"Konya, Karaman-TR52",-3790
2024,"Malatya, Elazığ, Bingöl, Tunceli-TRB1",-4032
2024,"Manisa, Afyonkarahisar, Kütahya, Uşak-TR33",-6884
2024,"Mardin, Batman, Şırnak, Siirt-TRC3",-26731
2024,"Samsun, Tokat, Çorum, Amasya-TR83",2647
2024,"Şanlıurfa, Diyarbakır-TRC2",-26574
2024,"Tekirdağ, Edirne, Kırklareli-TR21",17589
2024,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane-TR90",-27420
2024,"Van, Muş, Bitlis, Hakkari-TRB2",-43604
2024,"Zonguldak, Karabük, Bartın-TR81",-7232
2025,"Adana, Mersin-TR62",-1244
2025,"Ağrı, Kars, Iğdır, Ardahan-TRA2",-21304
2025,Ankara-TR51,31172
2025,"Antalya, Isparta, Burdur-TR61",26217
2025,"Aydın, Denizli, Muğla-TR32",16131
2025,"Balıkesir, Çanakkale-TR22",13659
2025,"Bursa, Eskişehir, Bilecik-TR41",16889
2025,"Erzurum, Erzincan, Bayburt-TRA1",-12991
2025,"Gaziantep, Adıyaman, Kilis-TRC1",6385
2025,"Hatay, Kahramanmaraş, Osmaniye-TR63",9587
2025,İstanbul-TR10,-41346
2025,İzmir-TR31,7355
2025,"Kastamonu, Çankırı, Sinop-TR82",-323
2025,"Kayseri, Sivas, Yozgat-TR72",-7262
2025,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir-TR71",-1692
2025,"Kocaeli, Sakarya, Düzce, Bolu, Yalova-TR42",32700
2025,"Konya, Karaman-TR52",-2531
2025,"Malatya, Elazığ, Bingöl, Tunceli-TRB1",-1965
2025,"Manisa, Afyonkarahisar, Kütahya, Uşak-TR33",-5263
2025,"Mardin, Batman, Şırnak, Siirt-TRC3",-16097
2025,"Samsun, Tokat, Çorum, Amasya-TR83",4081
2025,"Şanlıurfa, Diyarbakır-TRC2",-22281
2025,"Tekirdağ, Edirne, Kırklareli-TR21",15139
2025,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane-TR90",-8641
2025,"Van, Muş, Bitlis, Hakkari-TRB2",-34508
2025,"Zonguldak, Karabük, Bartın-TR81",-1867
